" Date","XAUUSD Open","XAUUSD Low","XAUUSD High","XAUUSD Close","XAUUSD Adj. Close","XAUUSD Volume","XAUUSD Vol  (1M)","XAUUSD Vol  (3M)","XAUUSD Vol  (6M)"
09-24-2020,"1,863.64 ","1,849.06 ","1,875.89 ","1,868.48 ","1,868.48 ","0","14.92","20.51","17.89"
09-23-2020,"1,900.14 ","1,858.30 ","1,904.83 ","1,862.60 ","1,862.60 ","0","15.86","20.50","17.92"
09-22-2020,"1,912.68 ","1,897.48 ","1,919.23 ","1,900.82 ","1,900.82 ","0","14.33","20.06","18.13"
09-21-2020,"1,950.10 ","1,887.24 ","1,954.51 ","1,912.09 ","1,912.09 ","0","14.31","20.00","18.10"
09-18-2020,"1,944.37 ","1,944.25 ","1,959.10 ","1,950.63 ","1,950.63 ","0","12.57","19.56","17.88"
09-17-2020,"1,959.62 ","1,934.60 ","1,960.50 ","1,944.42 ","1,944.42 ","0","13.03","19.60","17.91"
09-16-2020,"1,954.42 ","1,951.56 ","1,971.34 ","1,959.31 ","1,959.31 ","0","18.43","19.54","17.90"
09-15-2020,"1,956.56 ","1,948.60 ","1,970.81 ","1,953.48 ","1,953.48 ","0","18.68","19.63","19.04"
09-14-2020,"1,940.26 ","1,938.80 ","1,961.10 ","1,956.61 ","1,956.61 ","0","20.10","19.64","19.60"
09-11-2020,"1,946.29 ","1,938.35 ","1,953.60 ","1,940.52 ","1,940.52 ","0","19.97","19.60","19.69"
09-10-2020,"1,946.64 ","1,941.87 ","1,966.08 ","1,945.57 ","1,945.57 ","0","20.94","19.58","19.71"
09-09-2020,"1,931.58 ","1,920.88 ","1,950.68 ","1,947.62 ","1,947.62 ","0","20.95","19.60","20.20"
09-08-2020,"1,928.58 ","1,908.29 ","1,940.30 ","1,931.79 ","1,931.79 ","0","29.07","19.55","20.24"
09-07-2020,"1,933.73 ","1,925.50 ","1,940.93 ","1,928.73 ","1,928.73 ","0","29.04","19.60","20.36"
09-04-2020,"1,930.39 ","1,918.30 ","1,941.23 ","1,933.34 ","1,933.34 ","0","29.35","19.73","20.89"
09-03-2020,"1,942.94 ","1,925.03 ","1,950.70 ","1,930.91 ","1,930.91 ","0","29.79","19.79","21.57"
09-02-2020,"1,970.60 ","1,934.70 ","1,972.79 ","1,943.50 ","1,943.50 ","0","30.06","19.75","21.57"
09-01-2020,"1,967.70 ","1,965.58 ","1,992.18 ","1,970.98 ","1,970.98 ","0","30.70","19.84","21.63"
08-31-2020,"1,964.90 ","1,955.99 ","1,976.13 ","1,968.28 ","1,968.28 ","0","30.69","19.87","21.64"
08-28-2020,"1,929.38 ","1,925.02 ","1,973.00 ","1,964.80 ","1,964.80 ","0","30.86","20.24","21.64"
08-27-2020,"1,953.97 ","1,917.36 ","1,966.32 ","1,928.40 ","1,928.40 ","0","30.19","20.03","21.69"
08-26-2020,"1,928.08 ","1,905.90 ","1,954.49 ","1,954.49 ","1,954.49 ","0","29.95","19.81","21.59"
08-25-2020,"1,928.81 ","1,915.60 ","1,937.05 ","1,927.19 ","1,927.19 ","0","29.69","19.68","21.90"
08-24-2020,"1,940.23 ","1,924.53 ","1,958.66 ","1,928.68 ","1,928.68 ","0","30.55","19.68","21.91"
08-21-2020,"1,946.88 ","1,913.24 ","1,953.31 ","1,939.32 ","1,939.32 ","0","30.57","19.62","22.55"
08-20-2020,"1,929.31 ","1,925.67 ","1,953.55 ","1,947.70 ","1,947.70 ","0","30.58","19.76","22.53"
08-19-2020,"2,002.05 ","1,924.99 ","2,006.51 ","1,927.60 ","1,927.60 ","0","30.83","19.72","22.50"
08-18-2020,"1,985.15 ","1,981.46 ","2,014.40 ","2,001.70 ","2,001.70 ","0","27.40","18.03","21.88"
08-17-2020,"1,944.34 ","1,932.17 ","1,988.51 ","1,984.51 ","1,984.51 ","0","27.36","18.20","21.88"
08-14-2020,"1,953.69 ","1,933.87 ","1,961.68 ","1,943.80 ","1,943.80 ","0","26.73","17.80","21.80"
08-13-2020,"1,916.52 ","1,915.00 ","1,965.11 ","1,954.01 ","1,954.01 ","0","26.85","17.77","21.78"
08-12-2020,"1,911.81 ","1,870.80 ","1,948.08 ","1,919.00 ","1,919.00 ","0","26.34","17.54","21.66"
08-11-2020,"2,027.65 ","1,906.90 ","2,029.54 ","1,913.11 ","1,913.11 ","0","26.34","17.59","21.73"
08-10-2020,"2,035.25 ","2,021.32 ","2,049.74 ","2,027.78 ","2,027.78 ","0","14.23","12.77","20.00"
08-07-2020,"2,063.79 ","2,016.93 ","2,071.85 ","2,032.87 ","2,032.87 ","0","14.19","12.76","19.99"
08-06-2020,"2,038.00 ","2,036.46 ","2,068.00 ","2,063.49 ","2,063.49 ","0","12.54","12.24","19.85"
08-05-2020,"2,019.39 ","2,009.89 ","2,053.60 ","2,038.93 ","2,038.93 ","0","12.38","12.15","19.80"
08-04-2020,"1,976.99 ","1,971.00 ","2,019.04 ","2,018.77 ","2,018.77 ","0","12.30","12.25","19.79"
08-03-2020,"1,975.47 ","1,962.42 ","1,984.86 ","1,976.98 ","1,976.98 ","0","11.02","12.07","19.60"
07-31-2020,"1,956.32 ","1,955.93 ","1,977.26 ","1,975.03 ","1,975.03 ","0","11.09","12.39","19.60"
07-30-2020,"1,970.66 ","1,939.81 ","1,971.66 ","1,957.21 ","1,957.21 ","0","11.01","12.31","19.58"
07-29-2020,"1,959.56 ","1,947.69 ","1,976.70 ","1,971.11 ","1,971.11 ","0","10.89","12.17","19.54"
07-28-2020,"1,942.14 ","1,911.33 ","1,976.90 ","1,958.20 ","1,958.20 ","0","10.87","12.20","19.66"
07-27-2020,"1,901.35 ","1,901.10 ","1,944.32 ","1,941.14 ","1,941.14 ","0","10.82","12.63","19.66"
07-24-2020,"1,887.44 ","1,883.70 ","1,905.98 ","1,901.87 ","1,901.87 ","0","9.11","12.06","19.48"
07-23-2020,"1,871.78 ","1,864.73 ","1,897.15 ","1,886.19 ","1,886.19 ","0","8.99","12.04","19.46"
07-22-2020,"1,841.68 ","1,841.50 ","1,871.62 ","1,871.50 ","1,871.50 ","0","9.16","12.09","19.44"
07-21-2020,"1,817.31 ","1,816.17 ","1,843.30 ","1,841.83 ","1,841.83 ","0","8.04","11.73","19.38"
07-20-2020,"1,810.04 ","1,806.24 ","1,818.48 ","1,817.32 ","1,817.32 ","0","7.18","11.57","19.32"
07-17-2020,"1,797.26 ","1,796.59 ","1,811.15 ","1,810.09 ","1,810.09 ","0","7.88","12.09","19.33"
07-16-2020,"1,810.46 ","1,795.34 ","1,813.16 ","1,797.15 ","1,797.15 ","0","7.82","12.12","19.31"
07-15-2020,"1,809.36 ","1,803.71 ","1,813.59 ","1,810.97 ","1,810.97 ","0","7.04","12.07","19.27"
07-14-2020,"1,802.60 ","1,793.40 ","1,810.57 ","1,809.38 ","1,809.38 ","0","7.05","12.89","19.27"
07-13-2020,"1,798.82 ","1,798.21 ","1,812.53 ","1,802.55 ","1,802.55 ","0","7.26","12.87","19.27"
07-10-2020,"1,803.17 ","1,794.37 ","1,809.58 ","1,798.93 ","1,798.93 ","0","7.27","12.94","19.27"
07-09-2020,"1,809.03 ","1,798.31 ","1,815.52 ","1,802.41 ","1,802.41 ","0","7.57","13.01","19.27"
07-08-2020,"1,795.28 ","1,792.70 ","1,817.40 ","1,808.71 ","1,808.71 ","0","8.37","13.35","19.27"
07-07-2020,"1,784.51 ","1,775.18 ","1,797.33 ","1,795.04 ","1,795.04 ","0","8.51","13.28","19.25"
07-06-2020,"1,775.33 ","1,771.30 ","1,786.86 ","1,784.85 ","1,784.85 ","0","8.66","13.99","19.28"
07-03-2020,"1,775.64 ","1,773.09 ","1,777.00 ","1,774.98 ","1,774.98 ","0","10.87","13.97","19.28"
07-02-2020,"1,770.43 ","1,761.67 ","1,778.50 ","1,775.43 ","1,775.43 ","0","11.08","14.06","19.30"
07-01-2020,"1,780.85 ","1,760.25 ","1,789.05 ","1,770.13 ","1,770.13 ","0","12.86","14.84","19.35"
06-30-2020,"1,772.51 ","1,766.88 ","1,785.22 ","1,781.02 ","1,781.02 ","0","12.93","14.77","19.32"
06-29-2020,"1,771.40 ","1,767.62 ","1,774.80 ","1,772.97 ","1,772.97 ","0","12.95","14.95","19.37"
06-26-2020,"1,763.77 ","1,749.00 ","1,771.50 ","1,770.08 ","1,770.08 ","0","13.09","15.02","19.44"
06-25-2020,"1,761.85 ","1,756.14 ","1,768.16 ","1,763.30 ","1,763.30 ","0","13.12","16.14","19.46"
06-24-2020,"1,768.05 ","1,761.73 ","1,778.95 ","1,761.73 ","1,761.73 ","0","13.12","16.14","19.46"
06-23-2020,"1,754.87 ","1,749.40 ","1,770.83 ","1,768.70 ","1,768.70 ","0","13.72","16.18","19.45"
06-22-2020,"1,743.59 ","1,743.59 ","1,763.10 ","1,754.84 ","1,754.84 ","0","13.59","16.19","19.43"
06-19-2020,"1,722.85 ","1,722.11 ","1,743.70 ","1,742.67 ","1,742.67 ","0","13.49","16.23","19.41"
06-18-2020,"1,726.90 ","1,718.74 ","1,735.59 ","1,722.79 ","1,722.79 ","0","13.50","18.57","19.40"
06-17-2020,"1,726.85 ","1,713.76 ","1,729.09 ","1,726.51 ","1,726.51 ","0","13.51","19.73","19.40"
06-16-2020,"1,725.17 ","1,717.94 ","1,732.66 ","1,726.10 ","1,726.10 ","0","13.75","19.92","19.43"
06-15-2020,"1,730.48 ","1,705.44 ","1,734.05 ","1,725.26 ","1,725.26 ","0","13.92","19.99","19.44"
06-12-2020,"1,727.43 ","1,724.30 ","1,742.29 ","1,730.53 ","1,730.53 ","0","14.19","20.95","19.43"
06-11-2020,"1,738.79 ","1,724.10 ","1,743.56 ","1,728.83 ","1,728.83 ","0","14.50","21.05","19.43"
06-10-2020,"1,714.85 ","1,713.28 ","1,739.23 ","1,737.83 ","1,737.83 ","0","14.55","21.24","19.41"
06-09-2020,"1,698.58 ","1,693.45 ","1,720.58 ","1,714.23 ","1,714.23 ","0","13.81","22.14","19.34"
06-08-2020,"1,684.57 ","1,679.14 ","1,700.44 ","1,698.53 ","1,698.53 ","0","13.46","23.32","19.30"
06-05-2020,"1,714.16 ","1,673.41 ","1,715.77 ","1,684.73 ","1,684.73 ","0","13.37","23.31","19.28"
06-04-2020,"1,698.39 ","1,697.64 ","1,720.97 ","1,712.92 ","1,712.92 ","0","13.56","23.35","19.13"
06-03-2020,"1,727.92 ","1,690.00 ","1,731.49 ","1,698.85 ","1,698.85 ","0","13.91","23.31","19.12"
06-02-2020,"1,740.01 ","1,722.20 ","1,744.85 ","1,727.70 ","1,727.70 ","0","12.54","23.05","18.95"
06-01-2020,"1,729.60 ","1,729.55 ","1,743.90 ","1,739.78 ","1,739.78 ","0","12.22","23.38","18.91"
05-29-2020,"1,719.10 ","1,715.00 ","1,736.52 ","1,730.60 ","1,730.60 ","0","12.39","23.36","18.98"
05-28-2020,"1,709.41 ","1,707.99 ","1,725.90 ","1,719.10 ","1,719.10 ","0","13.46","24.07","18.97"
05-27-2020,"1,710.94 ","1,694.64 ","1,715.25 ","1,711.06 ","1,711.06 ","0","13.39","24.08","18.96"
05-26-2020,"1,729.17 ","1,709.63 ","1,734.99 ","1,709.90 ","1,709.90 ","0","13.46","25.25","19.00"
05-25-2020,"1,735.09 ","1,725.06 ","1,735.09 ","1,729.10 ","1,729.10 ","0","13.10","25.14","18.92"
05-22-2020,"1,726.81 ","1,724.98 ","1,739.02 ","1,735.80 ","1,735.80 ","0","13.05","25.12","18.92"
05-21-2020,"1,747.94 ","1,721.19 ","1,748.56 ","1,726.94 ","1,726.94 ","0","13.29","25.23","18.91"
05-20-2020,"1,744.78 ","1,743.71 ","1,752.53 ","1,747.41 ","1,747.41 ","0","13.98","25.15","18.84"
05-19-2020,"1,732.70 ","1,727.61 ","1,747.21 ","1,744.70 ","1,744.70 ","0","14.27","25.31","18.85"
05-18-2020,"1,742.73 ","1,728.43 ","1,764.87 ","1,732.72 ","1,732.72 ","0","14.30","25.30","18.86"
05-15-2020,"1,730.47 ","1,729.52 ","1,750.10 ","1,744.03 ","1,744.03 ","0","16.16","25.26","18.83"
05-14-2020,"1,716.57 ","1,711.87 ","1,735.85 ","1,730.00 ","1,730.00 ","0","15.93","25.35","18.83"
05-13-2020,"1,702.58 ","1,700.40 ","1,717.79 ","1,715.22 ","1,715.22 ","0","15.78","25.31","18.80"
05-12-2020,"1,697.44 ","1,694.48 ","1,709.83 ","1,702.51 ","1,702.51 ","0","15.83","25.29","18.78"
05-11-2020,"1,706.03 ","1,694.28 ","1,723.44 ","1,698.58 ","1,698.58 ","0","16.83","25.30","18.78"
05-08-2020,"1,716.20 ","1,702.31 ","1,722.47 ","1,702.31 ","1,702.31 ","0","16.80","25.30","18.78"
05-07-2020,"1,685.68 ","1,684.80 ","1,721.96 ","1,715.89 ","1,715.89 ","0","18.26","25.25","18.74"
05-06-2020,"1,705.90 ","1,683.56 ","1,707.83 ","1,685.82 ","1,685.82 ","0","17.38","25.03","18.60"
05-05-2020,"1,701.39 ","1,694.70 ","1,710.77 ","1,705.33 ","1,705.33 ","0","17.01","24.90","18.51"
05-04-2020,"1,697.80 ","1,693.75 ","1,717.79 ","1,701.03 ","1,701.03 ","0","18.88","24.91","18.52"
05-01-2020,"1,687.11 ","1,671.56 ","1,704.95 ","1,700.43 ","1,700.43 ","0","18.87","24.91","18.55"
04-30-2020,"1,712.82 ","1,682.90 ","1,721.64 ","1,686.63 ","1,686.63 ","0","19.16","25.06","18.67"
04-29-2020,"1,708.45 ","1,700.10 ","1,715.70 ","1,712.60 ","1,712.60 ","0","18.10","24.88","18.53"
04-28-2020,"1,714.59 ","1,693.67 ","1,715.30 ","1,708.18 ","1,708.18 ","0","21.17","24.89","18.69"
04-27-2020,"1,728.15 ","1,709.70 ","1,728.15 ","1,714.90 ","1,714.90 ","0","21.06","24.87","18.69"
04-24-2020,"1,731.05 ","1,712.38 ","1,735.27 ","1,726.96 ","1,726.96 ","0","21.04","24.82","18.65"
04-23-2020,"1,714.84 ","1,708.98 ","1,737.78 ","1,730.94 ","1,730.94 ","0","21.04","24.89","18.70"
04-22-2020,"1,685.79 ","1,681.73 ","1,717.56 ","1,715.72 ","1,715.72 ","0","21.20","24.87","18.68"
04-21-2020,"1,695.63 ","1,665.15 ","1,696.66 ","1,683.86 ","1,683.86 ","0","25.78","24.64","18.51"
04-20-2020,"1,684.08 ","1,672.79 ","1,701.42 ","1,694.81 ","1,694.81 ","0","27.64","24.59","18.53"
04-17-2020,"1,718.49 ","1,681.67 ","1,718.49 ","1,682.15 ","1,682.15 ","0","27.87","24.56","18.50"
04-16-2020,"1,716.27 ","1,711.11 ","1,738.08 ","1,718.60 ","1,718.60 ","0","26.43","24.13","18.25"
04-15-2020,"1,727.27 ","1,710.20 ","1,730.78 ","1,717.05 ","1,717.05 ","0","29.23","24.13","18.25"
04-14-2020,"1,713.26 ","1,710.36 ","1,745.60 ","1,727.17 ","1,727.17 ","0","29.01","24.08","18.22"
04-13-2020,"1,684.23 ","1,680.82 ","1,721.56 ","1,713.00 ","1,713.00 ","0","29.82","24.06","18.21"
04-10-2020,"1,683.98 ","1,683.45 ","1,685.32 ","1,685.32 ","1,685.32 ","0","32.14","23.89","18.09"
04-09-2020,"1,645.79 ","1,644.98 ","1,688.80 ","1,684.46 ","1,684.46 ","0","34.91","23.89","18.09"
04-08-2020,"1,648.66 ","1,644.70 ","1,656.17 ","1,645.51 ","1,645.51 ","0","34.07","23.52","17.82"
04-07-2020,"1,664.70 ","1,644.48 ","1,671.43 ","1,648.10 ","1,648.10 ","0","34.62","23.54","17.86"
04-06-2020,"1,617.54 ","1,612.50 ","1,668.85 ","1,659.20 ","1,659.20 ","0","34.60","23.52","17.83"
04-03-2020,"1,613.67 ","1,609.19 ","1,624.03 ","1,618.39 ","1,618.39 ","0","33.36","23.09","17.51"
04-02-2020,"1,591.04 ","1,583.73 ","1,618.70 ","1,612.50 ","1,612.50 ","0","34.26","23.09","17.54"
04-01-2020,"1,577.28 ","1,570.92 ","1,599.18 ","1,590.83 ","1,590.83 ","0","33.88","23.04","17.44"
03-31-2020,"1,622.49 ","1,575.68 ","1,623.30 ","1,576.48 ","1,576.48 ","0","35.49","23.11","17.44"
03-30-2020,"1,627.29 ","1,612.49 ","1,631.75 ","1,620.86 ","1,620.86 ","0","34.09","22.42","17.01"
03-27-2020,"1,629.79 ","1,616.68 ","1,632.32 ","1,619.57 ","1,619.57 ","0","36.54","22.43","17.01"
03-26-2020,"1,617.16 ","1,598.81 ","1,642.72 ","1,630.45 ","1,630.45 ","0","36.47","22.37","16.98"
03-25-2020,"1,627.30 ","1,599.08 ","1,637.00 ","1,616.90 ","1,616.90 ","0","36.34","22.33","17.05"
03-24-2020,"1,553.47 ","1,553.47 ","1,632.24 ","1,627.63 ","1,627.63 ","0","36.48","22.28","17.02"
03-23-2020,"1,500.03 ","1,486.45 ","1,560.25 ","1,552.41 ","1,552.41 ","0","32.27","20.31","15.86"
03-20-2020,"1,472.51 ","1,464.41 ","1,515.73 ","1,498.76 ","1,498.76 ","0","29.96","19.06","15.08"
03-19-2020,"1,486.28 ","1,464.84 ","1,498.74 ","1,474.65 ","1,474.65 ","0","29.26","18.86","14.90"
03-18-2020,"1,528.68 ","1,475.70 ","1,543.40 ","1,483.87 ","1,483.87 ","0","29.44","18.85","15.09"
03-17-2020,"1,512.61 ","1,467.62 ","1,548.30 ","1,528.04 ","1,528.04 ","0","28.47","17.88","14.54"
03-16-2020,"1,530.55 ","1,454.40 ","1,571.75 ","1,509.28 ","1,509.28 ","0","28.02","17.73","14.44"
03-13-2020,"1,577.48 ","1,512.80 ","1,595.10 ","1,530.04 ","1,530.04 ","0","27.78","17.50","14.31"
03-12-2020,"1,635.05 ","1,562.29 ","1,647.93 ","1,579.20 ","1,579.20 ","0","25.61","16.23","13.68"
03-11-2020,"1,649.42 ","1,634.73 ","1,670.50 ","1,637.45 ","1,637.45 ","0","21.90","14.36","12.65"
03-10-2020,"1,679.41 ","1,646.90 ","1,679.41 ","1,648.70 ","1,648.70 ","0","21.75","14.26","12.63"
03-09-2020,"1,674.42 ","1,660.23 ","1,701.75 ","1,678.47 ","1,678.47 ","0","20.48","13.74","12.35"
03-06-2020,"1,672.27 ","1,651.90 ","1,689.94 ","1,671.27 ","1,671.27 ","0","20.48","13.77","12.36"
03-05-2020,"1,636.93 ","1,636.48 ","1,673.87 ","1,673.87 ","1,673.87 ","0","20.42","13.75","12.41"
03-04-2020,"1,640.72 ","1,633.52 ","1,648.71 ","1,638.44 ","1,638.44 ","0","19.35","13.19","12.06"
03-03-2020,"1,589.65 ","1,589.28 ","1,647.62 ","1,636.90 ","1,636.90 ","0","20.19","13.42","12.09"
03-02-2020,"1,609.37 ","1,587.70 ","1,609.61 ","1,587.70 ","1,587.70 ","0","17.40","12.07","11.40"
02-28-2020,"1,644.72 ","1,566.40 ","1,648.20 ","1,579.42 ","1,579.42 ","0","17.40","12.05","11.41"
02-27-2020,"1,640.86 ","1,638.48 ","1,656.64 ","1,638.50 ","1,638.50 ","0","11.14","9.43","10.19"
02-26-2020,"1,634.97 ","1,627.33 ","1,654.51 ","1,640.23 ","1,640.23 ","0","11.13","9.42","10.67"
02-25-2020,"1,658.92 ","1,635.15 ","1,659.01 ","1,640.10 ","1,640.10 ","0","11.71","9.44","10.68"
02-24-2020,"1,643.15 ","1,643.15 ","1,688.50 ","1,659.16 ","1,659.16 ","0","10.80","9.04","10.68"
02-21-2020,"1,619.55 ","1,619.10 ","1,648.40 ","1,644.19 ","1,644.19 ","0","10.61","9.05","10.64"
02-20-2020,"1,611.58 ","1,605.06 ","1,622.75 ","1,619.60 ","1,619.60 ","0","9.56","8.67","10.45"
02-19-2020,"1,601.42 ","1,600.20 ","1,611.88 ","1,611.88 ","1,611.88 ","0","9.52","8.77","10.52"
02-18-2020,"1,581.25 ","1,581.25 ","1,604.62 ","1,603.10 ","1,603.10 ","0","9.45","8.76","10.50"
02-17-2020,"1,584.00 ","1,579.00 ","1,584.00 ","1,581.25 ","1,581.25 ","0","8.31","8.49","10.41"
02-14-2020,"1,576.14 ","1,573.70 ","1,584.03 ","1,582.76 ","1,582.76 ","0","8.31","8.48","10.41"
02-13-2020,"1,565.91 ","1,565.88 ","1,577.53 ","1,576.60 ","1,576.60 ","0","8.29","8.46","10.73"
02-12-2020,"1,567.81 ","1,562.60 ","1,570.10 ","1,566.72 ","1,566.72 ","0","8.25","8.41","10.70"
02-11-2020,"1,572.15 ","1,563.34 ","1,573.64 ","1,568.00 ","1,568.00 ","0","8.26","8.43","10.71"
02-10-2020,"1,570.32 ","1,568.26 ","1,576.53 ","1,573.05 ","1,573.05 ","0","8.60","8.41","10.75"
02-07-2020,"1,566.45 ","1,563.57 ","1,573.37 ","1,570.21 ","1,570.21 ","0","8.81","8.42","10.87"
02-06-2020,"1,556.48 ","1,552.92 ","1,567.36 ","1,566.09 ","1,566.09 ","0","8.97","8.42","10.91"
02-05-2020,"1,552.87 ","1,547.82 ","1,561.83 ","1,557.63 ","1,557.63 ","0","9.27","8.41","10.91"
02-04-2020,"1,576.76 ","1,550.00 ","1,579.11 ","1,554.87 ","1,554.87 ","0","9.37","8.54","10.99"
02-03-2020,"1,589.00 ","1,571.79 ","1,590.46 ","1,576.99 ","1,576.99 ","0","8.73","8.62","10.85"
01-31-2020,"1,574.26 ","1,571.60 ","1,588.60 ","1,586.14 ","1,586.14 ","0","9.34","8.54","10.89"
01-30-2020,"1,577.06 ","1,575.50 ","1,585.40 ","1,577.75 ","1,577.75 ","0","9.47","9.16","10.88"
01-29-2020,"1,567.45 ","1,563.60 ","1,577.34 ","1,576.60 ","1,576.60 ","0","9.49","9.21","10.88"
01-28-2020,"1,581.93 ","1,567.80 ","1,582.34 ","1,569.25 ","1,569.25 ","0","9.44","9.17","11.16"
01-27-2020,"1,571.57 ","1,571.57 ","1,585.87 ","1,582.65 ","1,582.65 ","0","8.69","9.22","11.12"
01-24-2020,"1,562.87 ","1,557.27 ","1,575.00 ","1,571.25 ","1,571.25 ","0","8.56","9.17","11.30"
01-23-2020,"1,558.97 ","1,553.30 ","1,567.30 ","1,562.48 ","1,562.48 ","0","8.98","9.15","11.29"
01-22-2020,"1,558.22 ","1,550.95 ","1,559.25 ","1,558.77 ","1,558.77 ","0","9.09","9.30","11.72"
01-21-2020,"1,560.49 ","1,548.49 ","1,567.78 ","1,559.10 ","1,559.10 ","0","9.39","9.30","11.88"
01-20-2020,"1,557.42 ","1,556.61 ","1,562.58 ","1,560.56 ","1,560.56 ","0","9.36","9.40","11.88"
01-17-2020,"1,552.51 ","1,550.38 ","1,561.25 ","1,557.39 ","1,557.39 ","0","9.46","9.40","11.90"
01-16-2020,"1,556.25 ","1,549.21 ","1,557.94 ","1,553.40 ","1,553.40 ","0","9.46","9.40","11.90"
01-15-2020,"1,546.39 ","1,546.14 ","1,557.00 ","1,556.27 ","1,556.27 ","0","9.37","9.44","11.96"
01-14-2020,"1,547.91 ","1,537.20 ","1,548.94 ","1,547.20 ","1,547.20 ","0","9.35","9.39","11.95"
01-13-2020,"1,562.12 ","1,547.70 ","1,562.12 ","1,548.82 ","1,548.82 ","0","9.31","9.39","11.98"
01-10-2020,"1,552.37 ","1,545.98 ","1,560.59 ","1,560.07 ","1,560.07 ","0","8.67","9.30","11.93"
01-09-2020,"1,556.50 ","1,544.12 ","1,560.92 ","1,550.77 ","1,550.77 ","0","8.88","9.41","12.09"
01-08-2020,"1,573.98 ","1,553.21 ","1,610.46 ","1,558.37 ","1,558.37 ","0","8.60","9.36","12.21"
